U+4ED4: zǎi,zǐ,zī  #仔
U+4ED5: shì  #仕
U+4ED6: tā,tuó  #他
U+4ED7: zhàng  #仗
U+4ED8: fù  #付
U+4ED9: xiān,xiǎn  #仙
U+4EDD: tóng  #仝
U+4EDE: rèn  #仞
U+4EDF: qiān  #仟
U+4EE1: gē,yì,wù  #仡
U+4EE3: dài  #代
U+4EE4: lìng,líng,lǐng,lián  #令
U+4EE5: yǐ,sì  #以
U+4EE8: sā  #仨
U+4EEA: yí  #仪
U+4EEB: mù  #仫
U+4EEC: men,mén  #们
U+4EF0: yǎng,áng  #仰
U+4EF2: zhòng  #仲
U+4EF3: pǐ,pí,bì  #仳
U+4EF5: wǔ  #仵
U+4EF6: jiàn,móu  #件
U+4EF7: jià,jie,jiè  #价
U+4EFB: rèn,rén,lìn  #任
U+4EFD: fèn,bīn  #份
U+4EFF: fǎng,páng  #仿
U+4F01: qǐ  #企
U+4F08: xǐn,lǐn  #伈
U+4F09: kàng,gāng,kǎng  #伉
U+4F0A: yī  #伊
U+4F0B: jí,fán  #伋
U+4F0D: wǔ  #伍
U+4F0E: jì,zhì,qí,qì  #伎
U+4F0F: fú,fù  #伏
U+4F10: fá  #伐
U+4F11: xiū,xù  #休
U+4F17: zhòng,yín  #众
U+4F18: yōu,yóu  #优
U+4F19: huǒ,huo  #伙
U+4F1A: huì,kuài  #会
U+4F1B: yǔ  #伛
U+4F1E: sǎn  #伞
U+4F1F: wěi  #伟
U+4F20: chuán,zhuàn  #传
U+4F22: yá  #伢
U+4F23: qiàn  #伣
U+4F24: shāng  #伤
U+4F25: chāng  #伥
U+4F26: lún  #伦
U+4F27: cāng,chen  #伧
U+4F2A: wěi  #伪
U+4F2B: zhù  #伫
U+4F2D: xián  #伭
U+4F2F: bó,bǎi,mò,bà  #伯
U+4F30: gū,gù  #估
U+4F32: nì,ní,nǐ  #伲
U+4F34: bàn,pàn  #伴
U+4F36: líng  #伶
U+4F38: shēn  #伸
U+4F3A: cì,sì  #伺
U+4F3C: shì,sì  #似
U+4F3D: gā,jiā,qié  #伽
U+4F3E: pī  #伾
U+4F41: yǐ,ǎi,sì,chì  #佁
U+4F43: diàn,tián  #佃
U+4F46: dàn,tǎn,yàn  #但
U+4F4D: wèi,lì  #位
U+4F4E: dī  #低
U+4F4F: zhù  #住
U+4F50: zuǒ  #佐
U+4F51: yòu  #佑
U+4F53: tǐ,tī,bèn,cuì  #体
U+4F55: hé,hè  #何
U+4F56: bì  #佖
U+4F57: tuó,tuō,tuò,yí  #佗
U+4F58: shé  #佘
U+4F59: yú,tú,xú,yù  #余
U+4F5A: yì,dié  #佚
U+4F5B: fú,fó,bó,bì  #佛
U+4F5C: zuò,zuō,zuó  #作
U+4F5D: gōu,kòu,jū  #佝
U+4F5E: nìng  #佞
U+4F5F: tóng  #佟
U+4F60: nǐ  #你
U+4F63: yōng,yòng  #佣
U+4F64: wǎ  #佤
U+4F65: qiān  #佥
U+4F69: pèi  #佩
U+4F6C: lǎo,liáo  #佬
U+4F6F: yáng  #佯
U+4F70: bǎi,mò  #佰
U+4F73: jiā  #佳
U+4F74: èr,nài  #佴
U+4F76: jí  #佶
U+4F78: huó  #佸
U+4F7A: quán  #佺
U+4F7B: tiāo,tiáo,tiào,diǎo,yáo,dào,zhào  #佻
U+4F7C: jiǎo,jiāo,xiáo  #佼
U+4F7D: cì  #佽
U+4F7E: yì  #佾
U+4F7F: shǐ  #使
U+4F81: shēn  #侁
U+4F82: tuō  #侂
U+4F83: kǎn  #侃
U+4F84: zhí  #侄
U+4F88: chǐ  #侈
U+4F89: kuǎ,huá,è,wú  #侉
U+4F8B: lì,liè  #例
U+4F8D: shì  #侍
U+4F8F: zhū,zhōu  #侏
U+4F91: yòu  #侑
U+4F94: móu,máo  #侔
U+4F97: dòng,tōng,tóng,tǒng  #侗
U+4F98: chà  #侘
U+4F9B: gōng,gòng  #供
U+4F9D: yī,yǐ  #依
U+4FA0: xiá  #侠
U+4FA3: lǚ  #侣
U+4FA5: jiǎo,yáo  #侥
U+4FA6: zhēn  #侦
U+4FA7: cè,zè,zhāi  #侧
U+4FA8: qiáo  #侨
U+4FA9: kuài  #侩
U+4FAA: chái  #侪
U+4FAC: nóng  #侬
U+4FAE: wǔ  #侮
U+4FAF: hóu,hòu  #侯
U+4FB4: chǒu  #侴
U+4FB5: qīn,qǐn  #侵
U+4FB9: tǐng  #侹
U+4FBF: biàn,pián,biān  #便
U+4FC3: cù,chuò  #促
U+4FC4: é  #俄
U+4FC5: qiú  #俅
U+4FCA: jùn,shùn,dūn  #俊
U+4FCD: liáng,lǎng  #俍
U+4FCE: zǔ  #俎
U+4FCF: qiào,xiào,xiāo  #俏
U+4FD0: lì  #俐
